世帯年収,800～1000万円未満,1440,1568,5.7,19.5,27.4,25.5,12.2,6.9,5.3,7.6,4.8,2.9,15,5,2.1,
世帯年収,1000～1500万円未満,1104,1278,1.1,13,31.3,34.1,11.5,7.1,4.4,6.6,4,2.6,13.5,5,2.4,
世帯年収,1500～2000万円未満,221,343,9.4,13,35,22,12.6,9.5,3.1,6.3,4,2.2,11.1,4,1.7,
世帯年収,2000万円以上,133,147,- ,14.6,6.6,26,29.1,17.8,11.3,17.9,13.6,4.3,35.1,10.1,5.8,
都市区分,特別区・政令指定都市・県庁所在地,5414,6512,11.2,13.9,17.5,16.9,14.7,7.2,7.5,14.5,7.9,6.7,33.3,17.9,11.2,
都市区分,その他の市,6761,5959,7.5,10.8,17.3,16.4,16.8,7.8,9,19.3,10.7,8.6,40.2,20.5,11.9,
都市区分,町・村,3129,2833,4.9,9.8,13.5,16.9,20.2,9.1,11.1,23.3,14,9.4,45.8,20.7,11.4,
地方,北海道,275,677,8.3,10.9,16.1,16.2,17.8,8.1,9.7,18.4,10.5,7.8,40.4,20.3,12.4,
地方,東北,2028,961,6.9,9.7,14.5,16.2,20.7,9.5,11.2,19.5,11.3,8.1,43.2,20.7,12.5,
地方,北関東,946,765,7.2,10.9,16.2,16.6,18.7,8.5,10.2,19.6,11.2,8.4,40.6,19.3,10.9,
地方,南関東,1337,4773,10.4,13.9,18,17.6,14.2,6.9,7.3,15.8,8.7,7.2,33.2,17.2,10,
地方,北陸,1129,319,7.5,10.1,15.8,15.9,17.7,8.2,9.6,20.8,12,8.8,42.5,21,12.2,
地方,甲信越,1041,557,6.5,9.4,14.9,16.4,19.2,8.8,10.3,20.1,11.5,8.7,44,22.2,13.5,
地方,東海,1402,1714,8.2,12.1,17.1,17.1,16.2,7.7,8.5,18.3,10.2,8.2,37.9,19.2,11,
地方,近畿,1830,2534,8,11.4,16.8,17.2,15.8,7.4,8.4,18.9,10.4,8.5,39.2,20.4,11.9,
地方,中国,1749,857,8.2,10.7,15.6,15.1,17.2,7.9,9.3,19.9,11.2,8.7,42.5,22,13.3,
